Class	Categories	 Amount 	 Ceiling 	Unit
Cane Product Weavers	CAT A		 280.00 	Per Annum
Cane Product Weavers	CAT B		 210.00 	Per Annum
Cane Product Weavers	CAT 'C'		 140.00 	Per Annum
Car Washing Bay	CAT A  - Jet Washing, Restaurant  and Drinking Facility	 600.00 	 950.00 	Per Annum
Car Washing Bay	CAT B - Jet Washing and Drinking Facility	 400.00 	 600.00 	Per Annum
Car Washing Bay	CAT C - Jet Washing Only	 230.00 	 500.00 	Per Annum
Car Washing Bay	CAT D - Manual Washing with other Facilities	 200.00 	 350.00 	Per Annum
Car Washing Bay	CAT E - Manual Washing	 150.00 	 280.00 	Per Annum
Canopy Producers	CAT A - Tarpaulin Fabric Sewing and metal Fabricators	 330.00 	 350.00 	Per Annum
Canopy Producers	CAT B - Metal Fabricators	 200.00 	 220.00 	Per Annum
Canopy Producers	CAT C - Fabric Sewing	 80.00 	 75.00 	Per Annum
Carpentry Workshops	CAT A - Furniture Large Scale	 500.00 	 750.00 	Per Annum
Carpentry Workshops	CAT B -  Furniture Medium Scale	 300.00 	 280.00 	Per Annum
Carpentry Workshops	CAT C -  Furniture (plus upholstery - Medium)	 270.00 	 210.00 	Per Annum
Carpentry Workshops	CAT D - Furniture (plus upholstery -Small)	 250.00 	 130.00 	Per Annum
Carpentry Workshops	CAT E - Minor Works	 170.00 	 90.00 	Per Annum
Casket & Coffin Dealers	CAT A - Importers	   	 2,800.00 	Per Annum
Casket & Coffin Dealers	CAT B - Industrial (Manufacture & Sale)	 750.00 	 1,400.00 	Per Annum
Casket & Coffin Dealers	CAT C - Manual (Manufacture & Sale)	 370.00 	 370.00 	Per Annum
Casket & Coffin Dealers	CAT D - Sales Outlets	 140.00 	 140.00 	Per Annum
Casket & Coffin Dealers	CAT E - Manufacturers Only	 130.00 	 130.00 	Per Annum
Contracted Caterers (e.g. School Feeding)	CAT A -  Above 1,000 pupils	 270.00 	 700.00 	Per Annum
Contracted Caterers (e.g. School Feeding)	CAT B - Above 500 to 1,000 pupils	 200.00 	 600.00 	Per Annum
Contracted Caterers (e.g. School Feeding)	CAT C - Up to 500 pupils	 160.00 	 400.00 	Per Annum
CD Sellers (Audio/Video)	CAT A - Shops	 100.00 	 350.00 	Per Annum
CD Sellers (Audio/Video)	CAT B - Table Tops		 100.00 	Per Annum
CD Sellers (Audio/Video)	CAT C - Mobile Vans		 60.00 	Per Annum
Cement & Limestone  Factories	CAT A		 90,000.00 	Per Annum
Cement & Limestone  Factories	CAT B		 65,000.00 	Per Annum
Cement & Limestone  Factories	CAT C		 28,000.00 	Per Annum
Ceramics/Pottery Producers/Sellers	CAT A		 130.00 	Per Annum
Ceramics/Pottery Producers/Sellers	CAT B		 90.00 	Per Annum
Ceremonial Hiring Services	CAT A - Multi Services	 1,600.00 	 7,000.00 	Per Annum
Ceremonial Hiring Services	CAT B - Canopies , Chairs, Tables , cutlery, Glasses, Plates, Serving Trays	 700.00 	 1,300.00 	Per Annum
Ceremonial Hiring Services	CAT C - Canopies, Chairs, Tables	 420.00 	 600.00 	Per Annum
Ceremonial Hiring Services	CAT D - Single Item of above	 250.00 	 130.00 	Per Annum
Ceremonial Hiring Services	CAT E - Recreational/social facilities (Large)	 1,000.00 	 1,950.00 	Per Annum
Ceremonial Hiring Services	CAT F - Recreational/social facilities (Medium)	 950.00 	 1,300.00 	Per Annum
Ceremonial Hiring Services	CAT G - Recreational/social facilities (Small)	 818.00 	 950.00 	Per Annum
Ceremonial Hiring Services	CAT H - Spinners (Large)	 270.00 	 280.00 	Per Annum
Ceremonial Hiring Services	CAT I - Spinners (Small)	 130.00 	 130.00 	Per Annum
Ceremonial Hiring Services	CAT J - Live Band	 250.00 	 500.00 	Per Annum
Ceremonial Hiring Services	CAT K - Musical/Dance Groups	 300.00 	 350.00 	Per Annum
Chandlery (shipping supplies) Services	CAT A		 6,000.00 	Per Annum
Chandlery (shipping supplies) Services	CAT B		 4,500.00 	Per Annum
Chandlery (shipping supplies) Services	CAT C		 1,300.00 	Per Annum
Chandlery (shipping supplies) Services	CAT 'D'		 650.00 	Per Annum
Chandlery (shipping supplies) Services	CAT 'E'		 370.00 	Per Annum
Cigarette Dealers	CAT A - Importers/Wholesalers	 4,107.00 	 7,000.00 	Per Annum
Cigarette Dealers	CAT B - Distributors	 1,095.00 	 2,100.00 	Per Annum
Cigarette Dealers	CAT C - Retailers	 684.00 	 1,300.00 	Per Annum
Cleaning Companies	CAT A - Household/Office (Large)	 1,300.00 	 2,800.00 	Per Annum
Cleaning Companies	CAT B - Household/Office (Medium)	 1,000.00 	 1,950.00 	Per Annum
Cleaning Companies	CAT C - Household/Office (Small)	 400.00 	 1,000.00 	Per Annum
Cleaning Companies	CAT D - Household/Office (Very Small)	 270.00 	 500.00 	Per Annum
Cocoa Residue Buying Companies	CAT A		 900.00 	Per Annum
Cocoa Residue Buying Companies	CAT B		 700.00 	Per Annum
Cocoa/ Shea Nut/Cotton Buying Companies	CAT A - Large Scale (Mother Company)	 800.00 	 13,000.00 	Per Annum
Cocoa/ Shea Nut/Cotton Buying Companies	CAT B - Medium Scale (Mother Company)		 7,500.00 	Per Annum
Cocoa/ Shea Nut/Cotton Buying Companies	CAT C - Medium Scale (Agent)	 600.00 	 3,500.00 	Per Annum
Cocoa/ Shea Nut/Cotton Buying Companies	CAT D - Small Scale (Agent)	 680.00 	 1,400.00 	Per Annum
Coconut Oil Production/Sales	CAT A - Company (Large Scale)		 2,800.00 	Per Annum
Coconut Oil Production/Sales	CAT B - Company (Medium Scale)		 1,400.00 	Per Annum
Coconut Oil Production/Sales	CAT C - Company (Small Scale)		 700.00 	Per Annum
Coconut Oil Production/Sales	CAT D - Individuals		 210.00 	Per Annum
Coffee/Cashew  Buying Companies	CAT A - Large Scale (Mother Company)		 5,000.00 	Per Annum
Coffee/Cashew  Buying Companies	CAT B - Medium Scale (Mother Company)		 1,400.00 	Per Annum
Coffee/Cashew  Buying Companies	CAT C - Small Scale (Agent)		 500.00 	Per Annum
Cola Nut Buying Companies	CAT  A - Large Scale		 350.00 	Per Annum
Cola Nut Buying Companies	CAT  B - Medium Scale		 250.00 	Per Annum
Cola Nut Buying Companies	CAT  C - Small Scale		 170.00 	Per Annum
Importers with Own/Rented Cold Storage Facilities	CAT A - Above 2500 Metric Tonnes		 7,500.00 	Per Annum
Importers with Own/Rented Cold Storage Facilities	CAT B - 2001 to 2500 Metric Tonnes		 7,000.00 	Per Annum
Importers with Own/Rented Cold Storage Facilities	CAT C - 1501 to 2000 Metric Tonnes		 4,000.00 	Per Annum
Importers with Own/Rented Cold Storage Facilities	CAT D -  1001 to 1500 Metric Tonnes		 3,500.00 	Per Annum
Importers with Own/Rented Cold Storage Facilities	CAT E - 501 to 1000 Metric Tonnes		 2,800.00 	Per Annum
Importers with Own/Rented Cold Storage Facilities	CAT F - Up to 500 Metric Tonnes		 1,700.00 	Per Annum
Non-Importers with Rented Cold Storage Facilities (Local)	CAT A - Above 1000 Metric Tonnes		 1,950.00 	Per Annum
Non-Importers with Rented Cold Storage Facilities (Local)	CAT B - 501 to 1000 Metric Tonnes		 1,700.00 	Per Annum
Non-Importers with Rented Cold Storage Facilities (Local)	CAT C - Up to 500 Metric Tonnes	 1,200.00 	 1,300.00 	Per Annum
Non-Importers with Containerised Cold Storage Facilities (Local)	CAT A - 40 Footer Container	 800.00 	 1,785.00 	Per Annum
Non-Importers with Containerised Cold Storage Facilities (Local)	CAT B - 20 Footer Container	 700.00 	 600.00 	Per Annum
Non-Importers with Containerised Cold Storage Facilities (Local)	CAT C - Below 20 Footer Container	 358.00 	 400.00 	Per Annum
Non-Importers with Containerised Cold Storage Facilities (Local)	CAT D -  Fabricated facility (Retail Large)	 279.00 	 320.00 	Per Annum
Non-Importers with Containerised Cold Storage Facilities (Local)	CAT E - Fabricated facility (Retail Medium)	 175.00 	 160.00 	Per Annum
Non-Importers with Containerised Cold Storage Facilities (Local)	CAT F - Fabricated facility (Retail Small)	 120.00 	 90.00 	Per Annum
Commercial Houses/Departmental Stores	CAT A - Mall (Large)		 75,000.00 	Per Annum
Commercial Houses/Departmental Stores	CAT B - Mall (Medium)	 1,000.00 	 30,000.00 	Per Annum
Commercial Houses/Departmental Stores	CAT C - Branches of A or B		 14,000.00 	Per Annum
Commercial Houses/Departmental Stores	CAT D - Supermarkets (Large Size)	 1,600.00 	 5,000.00 	Per Annum
Commercial Houses/Departmental Stores	CAT E - Supermarkets (Medium Size)	 1,200.00 	 4,000.00 	Per Annum
Commercial Houses/Departmental Stores	CAT F - Supermarkets (Small Size)	 1,000.00 	 2,800.00 	Per Annum
Commercial Houses/Departmental Stores	CAT G - Neighbourhood Shops (Large Size)	 600.00 	 1,000.00 	Per Annum
Commercial Houses/Departmental Stores	CAT H -  Neighbourhood Shops (Medium Size)	 380.00 	 400.00 	Per Annum
Commercial Houses/Departmental Stores	CAT I - Neighbourhood Shops (Small Size)	 130.00 	 130.00 	Per Annum
Commercial Houses/Departmental Stores	CAT J - Neighbourhood Shops (Very Small Size)	 90.00 	 90.00 	Per Annum
Commercial Houses/Departmental Stores	CAT K - Neighbourhood Shops (Very Small Size)	 200.00 		
Mobile Sales Vans	Cat A - Above 3 and above Vans	 2,000.00 		
Mobile Sales Vans	Cat B - Below 1 - 2 Vans	 1,000.00 		
Commercialised State Companies/Corporations	CAT A - Head Offices		 32,000.00 	Per Annum
Commercialised State Companies/Corporations	CAT B - Regional Offices		 29,400.00 	Per Annum
Commercialised State Companies/Corporations	CAT C - Branch Offices		 19,500.00 	Per Annum
Commercialised State Companies/Corporations	CAT D - District Offices		 14,000.00 	Per Annum
Commercialised State Companies/Corporations	CAT E - Local Offices		 4,000.00 	Per Annum
Commercial Water Tanker Suppliers	CAT A - Water Tanker Suppliers (Large - above 10 Vehicles)		 750.00 	Per Annum
Commercial Water Tanker Suppliers	CAT B - Water Tankers Suppliers (Meduim - 5 to 10 Vehicles)		 600.00 	Per Annum
Commercial Water Tanker Suppliers	CAT C - Water Tanker Suppliers (Small - below 5 vehicles)	 350.00 	 370.00 	Per Annum
Commercial Water Tanker Suppliers	CAT D - Mobile Polytank Water Suppliers (Medium)	 250.00 	 180.00 	Per Annum
Commercial Water Tanker Suppliers	CAT E - Mobile Polytank Water Suppliers (Small)	 200.00 	 120.00 	Per Annum
Commercial Water Tanker Suppliers	CAT F - Others	 180.00 	 75.00 	Per Annum
Commissioner of Oath/Letter Writers	CAT A	 200.00 	 130.00 	Per Annum
Commissioner of Oath/Letter Writers	CAT B		 90.00 	Per Annum
Communication Mast Operating Licence	CAT A - 1-10 Masts	 2,200.00 	 2,200.00 	Per Annum /per mast
Communication Mast Operating Licence	CAT B - 11-20 Masts	 1,620.00 	 1,800.00 	Per Annum /per mast
Communication Mast Operating Licence	CAT C - 21-30 Masts	 1,200.00 	 1,500.00 	Per Annum /per mast
Communication Mast Operating Licence	CAT D - 31-40 Masts		 1,000.00 	Per Annum /per mast
Communication Mast Operating Licence	CAT E - Above 40 Masts		 720.00 	Per Annum /per mast
Computer/Accessories/ Office Equipment  Repairs	CAT  A -  Large Scale	 600.00 	 1,300.00 	Per Annum
Computer/Accessories/ Office Equipment  Repairs	CAT  B - Medium Scale	 400.00 	 600.00 	Per Annum
Computer/Accessories/ Office Equipment  Repairs	CAT  C - Small Scale	 200.00 	 280.00 	Per Annum
Condiments/Confectioneries (e.g. Biscuits, toffees and spices)	CAT A - Wholesale	 200.00 	 500.00 	Per Annum
Condiments/Confectioneries (e.g. Biscuits, toffees and spices)	CAT B - Retail	 160.00 	 280.00 	Per Annum
Condiments/Confectioneries (e.g. Biscuits, toffees and spices)	CAT C - Table Top	 80.00 	 100.00 	Per Annum
Cooking/Household Utensil Sales	CAT A	 370.00 	 370.00 	Per Annum
Cooking/Household Utensil Sales	CAT B	 250.00 	 250.00 	Per Annum
Cooking/Household Utensil Sales	CAT C	 130.00 	 130.00 	Per Annum
Cosmetics Production	CAT A		 2,800.00 	Per Annum
Cosmetics Production	CAT B		 1,400.00 	Per Annum
Cosmetic/Personal Care/Hair Product Sales	CAT A - Wholesale and Retail	 600.00 	 2,100.00 	Per Annum
Cosmetic/Personal Care/Hair Product Sales	CAT B - Wholesale Only	 684.00 	 1,400.00 	Per Annum
Cosmetic/Personal Care/Hair Product Sales	CAT C - Retail	 340.00 	 600.00 	Per Annum
Cosmetic/Personal Care/Hair Product Sales	CAT D - Table top	 220.00 	 130.00 	Per Annum
Courier Services	CAT A - International Companies	 100.00 	 6,100.00 	Per Annum
Courier Services	CAT B - National Companies		 3,700.00 	Per Annum
Courier Services	CAT C - Small Companies		 2,200.00 	Per Annum
Courier Services	CAT D - Others		 1,000.00 	Per Annum
Curtains/Carpets etc. Sales	CAT A	 200.00 	 280.00 	Per Annum
Curtains/Carpets etc. Sales	CAT B	 120.00 	 140.00 	Per Annum
Curtains/Carpets etc. Sales	CAT C	 110.00 	 100.00 	Per Annum
Clearing Agents	CAT A		 2,600.00 	Per Annum
Clearing Agents	CAT B		 1,400.00 	Per Annum
Clearing Agents	CAT C		 1,300.00 	Per Annum
Clearing Agents	CAT D		 950.00 	Per Annum
Port Services	CAT A		 69,300.00 	Per Annum
Port Services	CAT B		 54,600.00 	Per Annum
Port Services	CAT C		 44,100.00 	Per Annum
Port Services	CAT D		 35,700.00 	Per Annum
Port Services	CAT E		 22,000.00 	Per Annum
Port Services	CAT F		 19,500.00 	Per Annum
Port Services	CAT G		 15,000.00 	Per Annum
Port Services	CAT H		 11,500.00 	Per Annum
Digital Embroidery Companies	CAT A		 2,600.00 	Per Annum
Digital Embroidery Companies	CAT B		 1,000.00 	Per Annum
Digital Embroidery Companies	CAT 'C'		 370.00 	Per Annum
Disposable Products Dealers	CAT A - Wholesalers/Retailers	 430.00 	 450.00 	Per Annum
Disposable Products Dealers	CAT B - Retailers (Medium)	 220.00 	 250.00 	Per Annum
Disposable Products Dealers	CAT C - Retailers (Small)	 200.00 	 120.00 	Per Annum
Dog Licence	Dog Licence	 20.00 	 21.00 	Per Annum
Dog Breeding & Sales Licence	CAT A - Registered Breeders - With Association		 1,500.00 	Per Annum
Dog Breeding & Sales Licence	CAT B- Registered Breeders - Non- Association Members		 750.00 	Per Annum
Dog Breeding & Sales Licence	CAT (A) C - Exotic & Local		 520.00 	Per Annum
Dog Breeding & Sales Licence	CAT (B) D - Exotic Only		 400.00 	Per Annum
Dog Breeding & Sales Licence	CAT (C) E - Local Only		 210.00 	Per Annum
Dressmakers/Tailors (Industrial)	CAT A - Fashion Designers (Large)	 400.00 	 2,800.00 	Per Annum
Dressmakers/Tailors (Industrial)	CAT B - Fashion Designers (Small)	 300.00 	 1,400.00 	Per Annum
Dressmakers/Tailors (Industrial)	CAT C - Large Scale (Above 25 workers)		 750.00 	Per Annum
Dressmakers/Tailors (Industrial)	CAT D - Medium Scale (10-25 workers)		 400.00 	Per Annum
Dressmakers/Tailors (Industrial)	CAT E - Small Scale (Below 10 workers)	 170.00 	 210.00 	Per Annum
Dressmakers/Tailors (Non-Industrial)	CAT A - Large Scale	 300.00 	 190.00 	Per Annum
Dressmakers/Tailors (Non-Industrial)	CAT B - Medium Scale	 120.00 	 130.00 	Per Annum
Dressmakers/Tailors (Non-Industrial)	CAT C - Small scale	 120.00 	 100.00 	Per Annum
Dressmakers/Tailors Services	CAT A - Knitting, Haberdashery and Embroidery	 280.00 	 140.00 	Per Annum
Dressmakers/Tailors Services	CAT B - Knitting and Embroidery	 180.00 	 130.00 	Per Annum
Dressmakers/Tailors Services	CAT C - Embroidery only	 160.00 	 100.00 	Per Annum
Dressmakers/Tailors Services	CAT D - Knitting only	 100.00 	 100.00 	Per Annum
Dressmakers/Tailors Services	CAT E - Haberdashery Only (sewing items - large)	 450.00 	 450.00 	Per Annum
Dressmakers/Tailors Services	CAT F - Haberdashery Only (Small)	 150.00 	 280.00 	Per Annum
Mining	CAT A - Exploration & Prospecting - (Large)		 37,000.00 	Per Annum
Mining	CAT B - Exploration & Prospecting - (Small)		 26,000.00 	Per Annum
Mining	CAT C - Ancillary Services		 22,680.00 	Per Annum
Oil/Gas	CAT A - Exploration & Prospecting - (Large)		 170,000.00 	Per Annum
Oil/Gas	CAT B - Exploration & Prospecting - (Medium)		 60,000.00 	Per Annum
Oil/Gas	CAT D - Exploration & Prospecting - (Very Small)		 5,200.00 	Per Annum
Oil/Gas	CAT E - Ancillary Services		 90,000.00 	Per Annum
Water (Borehole)	CAT A - Large Scale		 7,500.00 	Per Annum
Water (Borehole)	CAT B - Medium Scale		 6,000.00 	Per Annum
Water (Borehole)	CAT C - Small Scale		 2,100.00 	Per Annum
Water (Borehole)	CAT D - Wells		 320.00 	Per Annum
Driving Schools	CAT A - Above 6 Vehicles	 1,200.00 	 945.00 	Per Annum
Driving Schools	CAT B - 4 - 6 Vehicles	 600.00 	 600.00 	Per Annum
Driving Schools	CAT C - 1 - 3 Vehicles	 600.00 	 280.00 	Per Annum
Day Care Centres (Early Childhood Development Centres)	CAT A -  Grade A	 400.00 	 2,200.00 	Per Annum
Day Care Centres (Early Childhood Development Centres)	CAT B -  Grade B	 400.00 	 750.00 	Per Annum
Day Care Centres (Early Childhood Development Centres)	CAT C - Grade C	 270.00 	 500.00 	Per Annum
Pre-Tertiary Schools - Basic School (Foreign Curriculum Operators)	CAT A - KG/Primary/Junior High Schools		 50,000.00 	Per Annum
Pre-Tertiary Schools - Basic School (Foreign Curriculum Operators)	CAT B - KG/Primary		 50,000.00 	Per Annum
Pre-Tertiary Schools - Basic School (National Curriculum Operators)	CAT A - KG/Primary/Junior High Schools (Large)	 1,100.00 	 3,650.00 	Per Annum
Pre-Tertiary Schools - Basic School (National Curriculum Operators)	CAT B - KG/Primary/Junior High Schools (Medium)	 900.00 	 2,300.00 	Per Annum
Pre-Tertiary Schools - Basic School (National Curriculum Operators)	CAT C - KG/Primary/Junior High Schools (Small)	 850.00 	 900.00 	Per Annum
Pre-Tertiary Schools - Basic School (National Curriculum Operators)	CAT D -  KG/Primary (Large)	 720.00 	 680.00 	Per Annum
Pre-Tertiary Schools - Basic School (National Curriculum Operators)	CAT E - KG/Primary (Medium)	 650.00 	 370.00 	Per Annum
Pre-Tertiary Schools - Basic School (National Curriculum Operators)	CAT F - KG/Primary (Small)	 200.00 	 190.00 	Per Annum
Pre-Tertiary Schools -  Secondary Level (Senior High/Technical/ Vocational Schools)	CAT A - Large	 1,500.00 	 3,500.00 	Per Annum
Pre-Tertiary Schools -  Secondary Level (Senior High/Technical/ Vocational Schools)	CAT B - Medium	 1,000.00 	 2,100.00 	Per Annum
Pre-Tertiary Schools -  Secondary Level (Senior High/Technical/ Vocational Schools)	CAT C - Small	 1,000.00 	 1,400.00 	Per Annum
Pre-Tertiary Schools -  Basic to Secondary School	CAT 'A' CAT A - Large	 3,100.00 	 5,200.00 	Per Annum
Pre-Tertiary Schools -  Basic to Secondary School	CAT 'B' CAT B - Medium	 1,300.00 	 4,000.00 	Per Annum
Pre-Tertiary Schools -  Specialised Schools (Remedial School)	CAT 'A'	 1,320.00 	 1,575.00 	Per Annum
Pre-Tertiary Schools -  Specialised Schools (Remedial School)	CAT 'B'	 600.00 	 750.00 	Per Annum
Tertiary Schools	CAT A - Chartered Universities (Own Conferred Degrees)		 13,000.00 	Per Annum
Tertiary Schools	CAT B - University colleges/Nursing & Midwifery Training Colleges (affiliated)	 2,000.00 	 7,500.00 	Per Annum
Tertiary Schools	CAT C - Tutorial Colleges (Professional Exams e.g.. ACCA, SAT etc.)	 1,630.00 	 3,200.00 	Per Annum
Tertiary Schools	CAT D - Academy (Training in Special fields e.g.. Football, Dance etc.)		 2,100.00 	Per Annum
Training & Vocational Institutions (Media, Construction, Fashion, Floral, Catering, Cosmetology & Wellness, etc.)	CAT 'A'		 1,700.00 	Per Annum
Training & Vocational Institutions (Media, Construction, Fashion, Floral, Catering, Cosmetology & Wellness, etc.)	CAT 'B'		 1,000.00 	Per Annum
Training & Vocational Institutions (Media, Construction, Fashion, Floral, Catering, Cosmetology & Wellness, etc.)	CAT 'C'		 900.00 	Per Annum
Training & Vocational Institutions (Media, Construction, Fashion, Floral, Catering, Cosmetology & Wellness, etc.)	CAT 'D'	 500.00 	 600.00 	Per Annum
Other Educational & Training Centres  - Computer Schools/ Training Centre	CAT A - International		 2,200.00 	Per Annum
Other Educational & Training Centres  - Computer Schools/ Training Centre	CAT B - Local (Large)		 1,300.00 	Per Annum
Other Educational & Training Centres  - Computer Schools/ Training Centre	CAT C - Local (Small)	 600.00 	 600.00 	Per Annum
Other Educational & Training Centres  - Private Library	Private Library	 210.00 	 210.00 	Per Annum
Egg Dealers	CAT A - Wholesale	 250.00 	 280.00 	Per Annum
Egg Dealers	CAT B - Retail Shops	 200.00 	 140.00 	Per Annum
Egg Dealers	CAT C - Mobile Retail	 120.00 	 130.00 	Per Annum
Electrical Appliances (New & Second-hand)	CAT A - Importers/Wholesalers		 5,000.00 	Per Annum
Electrical Appliances (New & Second-hand)	CAT B - Wholesalers		 3,700.00 	Per Annum
Electrical Appliances (New & Second-hand)	CAT C - Retailers (Large )	 1,100.00 	 2,200.00 	Per Annum
Electrical Appliances (New & Second-hand)	CAT D - Retailers - (Small)	 380.00 	 1,700.00 	Per Annum
Electrical Appliances (New & Second-hand)	CAT E - Table Top	 160.00 	 280.00 	Per Annum
Electronic/Home Appliances/Shops -New & Second Hand	CAT A - Importers/Wholesalers (Large)		 6,000.00 	Per Annum
Electronic/Home Appliances/Shops -New & Second Hand	CAT B - Importers/Wholesalers (Small)		 4,500.00 	Per Annum
Electronic/Home Appliances/Shops -New & Second Hand	CAT C - Wholesalers cum Retailers (Large)		 3,700.00 	Per Annum
Electronic/Home Appliances/Shops -New & Second Hand	CAT D - Wholesalers cum Retailers (Small)		 3,200.00 	Per Annum
Electronic/Home Appliances/Shops -New & Second Hand	CAT E - Retailers (Shops and Containers - Large)	 650.00 	 2,800.00 	Per Annum
Electronic/Home Appliances/Shops -New & Second Hand	CAT F - Retailers (Shops and Containers - Medium)	 600.00 	 1,950.00 	Per Annum
Electronic/Home Appliances/Shops -New & Second Hand	CAT G - Retailers (Shops and Containers - Small)	 350.00 	 1,300.00 	Per Annum
Electronic/Home Appliances/Shops -New & Second Hand	CAT  H - Retailers (Table Top- Medium)	 300.00 	 600.00 	Per Annum
Electronic/Home Appliances/Shops -New & Second Hand	CAT  I - Retailers Table Top - Small)	 200.00 	 210.00 	Per Annum
Electronic/Home Appliance Parts Dealers	CAT A	 300.00 	 450.00 	Per Annum
Electronic/Home Appliance Parts Dealers	CAT B	 200.00 	 350.00 	Per Annum
Electronic/Home Appliance Parts Dealers	CAT C	 120.00 	 210.00 	Per Annum
Embossment Centres	CAT A - Vehicle Embossment Company		 1,400.00 	Per Annum
Embossment Centres	CAT B - Stickers for vehicles and temporary structures - Medium		 520.00 	Per Annum
Embossment Centres	CAT C - Stickers for vehicles and temporary structures - Small		 140.00 	Per Annum
Power & Energy Dealers	CAT A - Production - Large		 150,000.00 	Per Annum
Power & Energy Dealers	CAT B - Production - Medium		 120,000.00 	Per Annum
Power & Energy Dealers	CAT E - Distribution		 90,000.00 	Per Annum
Power & Energy Dealers	CAT D - Retailers		 60,000.00 	Per Annum
Power & Energy Dealers	CAT E - Retailers		 75,000.00 	Per Annum
Solar Energy Dealers	CAT A - Importers		 3,500.00 	Per Annum
Solar Energy Dealers	CAT B - Manufacturers		 2,600.00 	Per Annum
Solar Energy Dealers	CAT C - Retailers		 1,300.00 	Per Annum
Solar Energy Dealers	CAT D - Technicians		 750.00 	Per Annum
Engineering Laboratories	CAT A - Geological Services		 5,200.00 	Per Annum
Engineering Laboratories	CAT B - Industrial Services		 3,200.00 	Per Annum
Engineering Laboratories	CAT C - Others		 2,100.00 	Per Annum
Fabric  Dealers  Manufacturing	CAT A - Large Scale		 1,300.00 	Per Annum
Fabric  Dealers  Manufacturing	CAT B - Medium Scale		 1,000.00 	Per Annum
Fabric  Dealers  Manufacturing	CAT C - Small Scale		 350.00 	Per Annum
Fabric  Dealers  Sales	CAT A - Imports/Wholesale		 1,950.00 	Per Annum
Fabric  Dealers  Sales	CAT B - Wholesale and Retail		 1,300.00 	Per Annum
Fabric  Dealers  Sales	CAT C - Wholesale		 500.00 	Per Annum
Fabric  Dealers  Sales	CAT D - Retail	 200.00 	 280.00 	Per Annum
Fabric  Dealers  Sales	CAT E - Table Top	 100.00 	 100.00 	Per Annum
Fabric  Dealers  Sales	CAT F - Retail (Small)	 150.00 		
Feed Mills (Poultry, Pets, Fish etc.)  Production	CAT A		 1,400.00 	Per Annum
Feed Mills (Poultry, Pets, Fish etc.)  Production	CAT B		 600.00 	Per Annum
Feed Mills (Poultry, Pets, Fish etc.)  Production	CAT C		 350.00 	Per Annum
Feed Sellers	CAT A - Wholesalers	 300.00 	 400.00 	Per Annum
Feed Sellers	CAT B - Distributors	 200.00 	 280.00 	Per Annum
Feed Sellers	CAT C - Retailers	 130.00 	 130.00 	Per Annum
Film Production/Distribution	CAT A - Film Production cum Distribution		 1,400.00 	Per Annum
Film Production/Distribution	CAT B - Film Production		 1,300.00 	Per Annum
Film Production/Distribution	CAT C - Film Distribution		 750.00 	Per Annum
Film Production/Distribution	CAT D - Small Scale of CAT B or C		 400.00 	Per Annum
Central Bank	CAT A - Bank of Ghana Central Bank		 60,000.00 	Per Annum
Development Banks	Development Banks	 15,000.00 	 37,000.00 	Per Annum
Universal Banks	CAT A - Bank with Capital Market operations	 15,000.00 	 25,000.00 	Per Annum
Universal Banks	CAT B - Head Office		 22,000.00 	Per Annum
Universal Banks	CAT C - Branch Office	 15,000.00 	 15,000.00 	Per Annum
Universal Banks	CAT D - Agency		 4,500.00 	Per Annum
Special Deposit Taking Institutions - Savings and Loans Companies & Finance Houses	CAT A - Head Office	 3,800.00 	 4,000.00 	Per Annum
Special Deposit Taking Institutions - Savings and Loans Companies & Finance Houses	CAT B - Branch	 2,200.00 	 2,200.00 	Per Annum
Special Deposit Taking Institutions - Savings and Loans Companies & Finance Houses	CAT C - Agency	 1,200.00 	 1,350.00 	Per Annum
Special Deposit Taking Institutions - Savings and Loans Companies & Finance Houses	CAT D - Mobilisation Centre	 1,000.00 	 520.00 	Per Annum
Special Deposit Taking Institutions - Savings and Loans Companies & Finance Houses	CAT E - Loan/Business Centre		 300.00 	Per Annum
Special Deposit Taking Institutions - Leasing & Mortgage Finance Companies	CAT A - Head Office		 2,600.00 	Per Annum
Special Deposit Taking Institutions - Leasing & Mortgage Finance Companies	CAT B - Branch		 1,900.00 	Per Annum
Other Financial Institutions - Microfinance Companies (Deposit Taking)	CAT A - Head Office	 2,600.00 	 1,900.00 	Per Annum
Other Financial Institutions - Microfinance Companies (Deposit Taking)	CAT B - Branch	 2,000.00 	 750.00 	Per Annum
Other Financial Institutions - Microcredit/Money Lenders/Credit Union	CAT A - Head Office (Microcredit/Money Lenders/Credit Union)	 1,200.00 	 1,900.00 	Per Annum
Other Financial Institutions - Microcredit/Money Lenders/Credit Union	CAT B - Branch (Microcredit/Money Lenders/Credit Union)	 750.00 	 750.00 	Per Annum
Other Financial Institutions - Microcredit/Money Lenders/Credit Union	CAT C - Tier 4 Operators (Microcredit/Money Lenders/Credit Union)	 300.00 	 300.00 	Per Annum
Other Financial Institutions - Rural & Community Banks	CAT A - Head Office (Rural & Community Banks)	 3,000.00 	 1,200.00 	Per Annum
Other Financial Institutions - Rural & Community Banks	CAT B - Branch (Rural & Community Banks)	 2,000.00 	 600.00 	Per Annum
Other Financial Institutions - Rural & Community Banks	CAT C - Agency (Rural & Community Banks)	 1,500.00 	 370.00 	Per Annum
